"volgorde","exerciseId","oefening","categorie","opnamebatch","risico","doelduur_sec","props","scriptstatus","motionstatus","videostatus"
"1","fp_ff306042c93f0900","Anteflexie armen","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"2","fp_be27be5fb5c3c30a","Barbell front press","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"3","fp_1828d3579aacc5bc","Barbell neck press","Bovenste extremiteit","01-kracht-bovenlichaam","extra-review","32","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"4","fp_5db16db1c4b85956","Barbell pull over","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"5","fp_23ffdd3956aecfb4","Bench press","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"6","fp_366b2ef8d0e55ab9","Biceps alternate dumbell","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"7","fp_ffdd7a98ee2ba5cc","Biceps curl","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"8","fp_996436b03b60975c","Biceps pull","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"9","fp_013ba6ad937cc9d9","Dips","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"10","fp_4bc24b8993e02443","Dumbell bench press","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"11","fp_2ab4d4051bcadf29","Dumbell front press","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"12","fp_7f4ce1cc338c328f","Dumbell neck press","Bovenste extremiteit","01-kracht-bovenlichaam","extra-review","32","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"13","fp_7808749387b6f081","Dumbell pull over","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"14","fp_105dddb40395ec70","Duplex pull","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"15","fp_a879769a3b3317e5","Endo pull","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"16","fp_5423a6beaa5b75b7","Exo pull","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"17","fp_7b22cceae60e6805","Flyes","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"18","fp_2b06a69981dc6f70","French press","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"19","fp_c71a4e146ca47ccb","Front pully row","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"20","fp_4e2e2902d6482607","Front raises","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"21","fp_e1f92ebe56d44e0a","Incline bench press","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"22","fp_d61a6fa943e5ba21","Incline flyes","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"23","fp_b3c08cf3e8344649","Lat pull front","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"24","fp_adffa09aec44d449","Lateral raises","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"25","fp_d49b76635c4c0073","Military press","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"26","fp_aad16f83f94a6a9a","Nose breakers","Bovenste extremiteit","01-kracht-bovenlichaam","extra-review","32","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"27","fp_f926cb9ff106963d","One arm bent over row","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"28","fp_64335f975c24312b","Pully cross down","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"29","fp_4c31183cce345882","Pully cross over","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"30","fp_77def39d4ae09ef9","Pully cross up","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"31","fp_6d1cc89ca3f2d07a","Pully dips","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"32","fp_39587ab625e7f5ce","Pully down","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"33","fp_ac9ca23eb3a905fa","Pully press double","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"34","fp_338eb9bf2c26dda3","Pully press single","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"35","fp_26b908445759c575","Pully pull over","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"36","fp_7cad1ed08189f651","Pully row","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"37","fp_ef7637bcf7123024","Push up","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"38","fp_8db93020a49ad7cc","Reversed flyes","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"39","fp_2851dfd52f89d4e1","Shoulder rotation (shrugs)","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"40","fp_f227db5fcf245d9c","Triceps dips","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"41","fp_cf942a78afe9385d","Triceps dumbell kickbacks","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"42","fp_787a29402aa1bb26","Triceps push down","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"43","fp_de780f5f74664177","Upright row","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"44","fp_ca78db68bfc2ce5e","Wrist extension","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"45","fp_13599cee44c7a8cd","Wrist flexion","Bovenste extremiteit","01-kracht-bovenlichaam","standard","26","bank | dumbbells | barbell | kabelstation","draft","pending","pending"
"46","fp_0365d2775d7d9d99","Been pendelen","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"47","fp_96e6c0f98c85f90d","Bridges kicker","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"48","fp_ebda8f78ad5807d0","Calf raises","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"49","fp_295fd35a63d44ef8","Chair squat","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"50","fp_de81d7b6a30acef2","Crabwalk","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"51","fp_713c574ba173ed20","Dead lift","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"52","fp_4dec0874589408c6","Extension squat","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"53","fp_97db6b7c4ee71185","Front squat","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"54","fp_349fdd1a494341cc","Glute bridges","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"55","fp_918ae38b193310b8","Hack squat","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"56","fp_99e5838f4bff098d","Jefferson squat","Onderste extremiteit","02-kracht-onderlichaam","extra-review","32","mat | bank | barbell | dumbbells","draft","pending","pending"
"57","fp_45b5c1982fd01cae","Kick back","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"58","fp_28bde22bdbe17bda","Leg curl","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"59","fp_0ba32cc051f02ca6","Leg extension","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"60","fp_0a6eb2ccb03c6b59","Leg press","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
"61","fp_deaa2d4e662b5d69","Lunges","Onderste extremiteit","02-kracht-onderlichaam","standard","26","mat | bank | barbell | dumbbells","draft","pending","pending"
